date,category,amount,description
2025-01-03,Food,32.50,Supermarket
2025-01-05,Transport,15.00,Uber
2025-01-07,Food,48.90,Restaurant
2025-01-09,Entertainment,29.90,Netflix + Spotify
2025-01-11,Health,85.00,Pharmacy
2025-01-13,Transport,12.00,Bus pass top-up
2025-01-15,Food,21.70,Lunch
2025-01-17,Education,49.90,Alura subscription
2025-01-19,Food,67.30,Supermarket
2025-01-21,Entertainment,45.00,Cinema + snacks
2025-01-23,Transport,18.50,Uber
2025-01-25,Health,120.00,Dentist
2025-01-27,Food,38.40,Restaurant
2025-01-29,Education,0.00,Free course
2025-01-30,Transport,9.00,Bus
